,fit_KD,fit_KD_std,true_KD
320,1.80776867696e-07,0.0,1.65655553689e-07
321,2.68269579528e-10,0.0,3.0323072022e-10
322,3.98107170553e-10,0.0,4.15474350708e-10
323,1.06800043251e-06,0.0,9.3954646778e-07
324,9.36329208824e-06,0.0,5.91569917654e-06
325,2.35195263507e-06,0.0,1.76855237277e-06
326,1.80776867696e-10,0.0,2.03960656026e-10
327,3.49025487896e-09,0.0,3.80474135517e-09
328,2.68269579528e-07,0.0,2.6315408867e-07
329,2.0619860095e-08,0.0,2.19926639804e-08
330,3.72759372031e-08,0.0,3.31841192012e-08
331,1.80776867696e-10,0.0,1.9828872354e-10
332,1.06800043251e-06,0.0,1.0160532607e-06
333,1.30102521691e-09,0.0,1.37162276909e-09
334,2.68269579528e-10,0.0,2.87111539843e-10
335,3.49025487896e-09,0.0,3.72481983074e-09
336,2.35195263507e-09,0.0,2.79281775619e-09
337,4.84969342853e-10,0.0,5.96937559481e-10
338,0.0001,0.0,9.29609117879e-05
339,8.76712387297e-07,0.0,8.59296829753e-07
340,7.6862461004e-09,0.0,8.38140547666e-09
341,5.53168119762e-05,0.0,1.44204636407e-05
342,8.76712387297e-10,0.0,1.10537531741e-09
343,9.36329208824e-06,0.0,6.28659860875e-06
344,0.0001,0.0,4.63370873055e-05
345,2.51188643151e-05,0.0,1.09540370007e-05
346,2.35195263507e-06,0.0,2.06532760331e-06
347,9.36329208824e-09,0.0,1.04583329291e-08
348,0.0001,1.8847417215e-16,9.53053682117e-05
349,2.35195263507e-06,0.0,2.06424548041e-06
350,0.0001,0.0,4.3576226339e-05
351,1.38949549437e-05,0.0,7.71550241343e-06
352,1.38949549437e-08,0.0,1.38346545115e-08
353,2.68269579528e-10,1.16186483316e-141,3.28494709283e-10
354,1.80776867696e-07,0.0,1.61751471958e-07
355,2.51188643151e-08,0.0,2.30782181167e-08
356,0.0001,0.0935975455999,2.77295992997e-05
357,8.76712387297e-07,0.0,7.57436225481e-07
358,5.53168119762e-08,0.0,4.8836079252e-08
359,0.0001,0.0,4.92949754382e-05
360,5.53168119762e-05,0.0,1.55551339284e-05
361,1.06800043251e-09,3.6908160021e-51,1.1128417639e-09
362,3.26802758941e-07,0.0,2.68335476561e-07
363,2.35195263507e-09,0.0,2.76755007155e-09
364,3.49025487896e-06,0.0,2.47572466273e-06
365,3.49025487896e-06,0.0,2.50102292205e-06
366,9.36329208824e-06,0.0,5.63228340972e-06
367,3.49025487896e-09,0.0,3.5878024878e-09
368,1.69266661504e-05,0.0,8.35366434625e-06
369,1.06800043251e-06,0.0,1.02345002687e-06
370,0.0001,0.0,3.48857373062e-05
371,6.73862716803e-08,0.0,6.59638507133e-08
372,9.36329208824e-06,0.0,5.77268566869e-06
373,3.98107170553e-07,0.0,3.7064211712e-07
