,fit_KD,fit_KD_std,true_KD
0,4.25178630338e-09,0.0413190385409,5.1152139317e-09
1,1.69266661504e-05,0.106416554063,8.87980061026e-06
2,2.86512026966e-09,0.012219328369,3.48821362368e-09
3,5.17947467923e-09,0.141305266093,7.83774151992e-09
4,3.26802758941e-10,0.0391416947606,4.17186385082e-10
5,0.0001,0.239141056486,3.71898060878e-05
6,1.14062492385e-08,0.160182245234,2.30224076595e-08
7,6.3095734448e-06,0.680205429109,8.21129097273e-07
8,4.84969342853e-10,0.0581980566206,1.18534338768e-09
9,4.25178630338e-06,0.12813212734,2.40948723181e-06
10,1.06800043251e-09,0.260643943617,1.02715380172e-09
11,0.0001,0.043944994042,2.85203700007e-05
12,7.19685673001e-10,0.149796741807,1.00805090615e-09
13,7.19685673001e-10,0.129066601176,7.05924459335e-10
14,2.68269579528e-10,0.0137023146302,3.54488421146e-10
15,3.98107170553e-07,0.0845575608175,3.37347531294e-07
16,3.98107170553e-10,0.083062075519,6.74761876831e-10
17,3.05994968721e-08,0.0323258884116,2.60048845242e-08
18,0.0001,0.176904424597,3.79610833208e-05
19,4.54090961097e-08,0.000703798954442,4.5005341075e-08
20,1e-10,0.102505374581,1.1412897738e-10
21,5.53168119762e-08,0.00310929035358,4.94563058013e-08
22,9.36329208824e-06,0.198890653078,4.90259429745e-06
23,1.38949549437e-08,0.0920879713677,1.63907582581e-08
24,1.30102521691e-09,0.00568123621379,1.37092064677e-09
25,2.35195263507e-06,0.0213802439448,1.61718721478e-06
26,0.0001,0.354889514244,6.64921324725e-05
27,0.0001,0.0570797095942,2.95000520436e-05
28,5.90783791159e-10,0.122065875141,5.57309123526e-10
29,1.93069772888e-09,0.0199020499078,2.16905117188e-09
30,9.36329208824e-09,0.139260715812,8.89289072579e-09
31,3.26802758941e-10,0.145373882239,4.80712077548e-10
32,1e-10,0.154119759857,1.51502046869e-10
33,2.20220194999e-10,0.0920092117795,2.27950785878e-10
34,0.0001,0.0998007016261,9.10864611557e-05
35,8.20891415964e-05,0.15461097533,1.35969857104e-05
36,1.21818791201e-10,0.0920836765983,1.0386127474e-10
37,2.68269579528e-10,0.261461735514,2.71736778924e-10
38,0.0001,0.0697679928055,7.59032760374e-05
39,0.0001,0.00325871990177,8.00433258458e-05
40,1.58489319246e-09,0.00218383695638,2.05625606829e-09
41,7.6862461004e-06,0.137345785737,4.29783416885e-06
42,1.80776867696e-07,0.000146333216946,1.41909995517e-07
43,8.76712387297e-10,0.204594212809,9.80917059475e-10
44,7.6862461004e-09,2.66806672506e-05,6.32826764052e-09
45,0.0001,0.30441068057,3.61262621255e-05
46,1.69266661504e-08,0.0842449007459,1.80924153915e-08
47,3.98107170553e-10,0.00293354855567,5.22528055827e-10
